date,value
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,0
2020-03-15,1
2020-03-22,13
2020-03-29,81
2020-04-05,140
2020-04-12,203
2020-04-19,266
2020-04-26,289
2020-05-03,326
2020-05-10,515
2020-05-17,547
2020-05-24,650
2020-05-31,814
2020-06-07,1100
2020-06-14,1247
2020-06-21,1467
2020-06-28,1464
2020-07-05,1701
2020-07-12,1848
2020-07-19,1738
2020-07-26,1853
2020-08-02,2023
2020-08-09,1853
2020-08-16,1732
2020-08-23,1722
2020-08-30,1706
2020-09-06,1560
2020-09-13,2884
2020-09-20,1251
2020-09-27,1180
2020-10-04,1109
2020-10-11,1162
2020-10-18,1143
2020-10-25,1076
2020-11-01,969
2020-11-08,1217
2020-11-15,1022
2020-11-22,1185
2020-11-29,1101
2020-12-06,1141
2020-12-13,1198
2020-12-20,1367
2020-12-27,1327
2021-01-03,1217
2021-01-10,1552
2021-01-17,1977
2021-01-24,2290
2021-01-31,2424
2021-02-07,2039
2021-02-14,1937
2021-02-21,1602
2021-02-28,2065
2021-03-07,1374
2021-03-14,1243
2021-03-21,1324
2021-03-28,1537
2021-04-04,1770
2021-04-11,1840
2021-04-18,2272
2021-04-25,2308
2021-05-02,2192
2021-05-09,2259
2021-05-16,3031
2021-05-23,3158
2021-05-30,2757
2021-06-06,2834
2021-06-13,2960
2021-06-20,3633
2021-06-27,4230
2021-07-04,4579
2021-07-11,6018
2021-07-18,6422
2021-07-25,6950
2021-08-01,8723
2021-08-08,9222
2021-08-15,8590
2021-08-22,7282
2021-08-29,6707
2021-09-05,5769
2021-09-12,5392
2021-09-19,4498
2021-09-26,4069
2021-10-03,4547
2021-10-10,2805
2021-10-17,2606
2021-10-24,2220
2021-10-31,1865
2021-11-07,1779
2021-11-14,1663
2021-11-21,1525
2021-11-28,1880
2021-12-05,1962
2021-12-12,2264
2021-12-19,2321
2021-12-26,2439
2022-01-02,2665
2022-01-09,2908
2022-01-16,2736
2022-01-23,2698
2022-01-30,2422
2022-02-06,1947
2022-02-13,2041
2022-02-20,1395
2022-02-27,1454
2022-03-06,1125
2022-03-13,1833
2022-03-20,731
2022-03-27,583
2022-04-03,903
2022-04-10,333
2022-04-17,278
2022-04-24,223
2022-05-01,152
2022-05-08,151
2022-05-15,231
2022-05-22,187
2022-05-29,219
2022-06-05,158
2022-06-12,141
2022-06-19,200
2022-06-26,215
2022-07-03,231
2022-07-10,241
2022-07-17,223
2022-07-24,276
2022-07-31,237
2022-08-07,192
2022-08-14,222
2022-08-21,213
2022-08-28,199
2022-09-04,187
2022-09-11,203
2022-09-18,111
2022-09-25,122
2022-10-02,101
2022-10-09,74
2022-10-16,60
2022-10-23,100
2022-10-30,79
2022-11-06,45
2022-11-13,47
2022-11-20,259
2022-11-27,-176
2022-12-04,55
2022-12-11,28
2022-12-18,74
2022-12-25,62
2023-01-01,64
2023-01-08,81
2023-01-15,72
2023-01-22,57
2023-01-29,69
2023-02-05,95
2023-02-12,37
2023-02-19,24
2023-02-26,30
2023-03-05,29
2023-03-12,11
