date,value
2020-01-26,39
2020-02-02,306
2020-02-09,544
2020-02-16,861
2020-02-23,687
2020-03-01,474
2020-03-08,378
2020-03-15,681
2020-03-22,1293
2020-03-29,1805
2020-04-05,3369
2020-04-12,5004
2020-04-19,7504
2020-04-26,7972
2020-05-03,10879
2020-05-10,13326
2020-05-17,14950
2020-05-24,17743
2020-05-31,19081
2020-06-07,22417
2020-06-14,24304
2020-06-21,28889
2020-06-28,26653
2020-07-05,27516
2020-07-12,29071
2020-07-19,32816
2020-07-26,32153
2020-08-02,32431
2020-08-09,34225
2020-08-16,33245
2020-08-23,31632
2020-08-30,31266
2020-09-06,29959
2020-09-13,32822
2020-09-20,29194
2020-09-27,29122
2020-10-04,30896
2020-10-11,30705
2020-10-18,26587
2020-10-25,27398
2020-11-01,28508
2020-11-08,31072
2020-11-15,33410
2020-11-22,35772
2020-11-29,37668
2020-12-06,38196
2020-12-13,37562
2020-12-20,38282
2020-12-27,35684
2021-01-03,36728
2021-01-10,40503
2021-01-17,42549
2021-01-24,46080
2021-01-31,45992
2021-02-07,40942
2021-02-14,41002
2021-02-21,36794
2021-02-28,37012
2021-03-07,37979
2021-03-14,40749
2021-03-21,47847
2021-03-28,50964
2021-04-04,55075
2021-04-11,67198
2021-04-18,68898
2021-04-25,75985
2021-05-02,79948
2021-05-09,78195
2021-05-16,74452
2021-05-23,73325
2021-05-30,66897
2021-06-06,63243
2021-06-13,67005
2021-06-20,54051
2021-06-27,48579
2021-07-04,46533
2021-07-11,46858
2021-07-18,46924
2021-07-25,59324
2021-08-01,51160
2021-08-08,51335
2021-08-15,51947
2021-08-22,51622
2021-08-29,49209
2021-09-05,45899
2021-09-12,40731
2021-09-19,38332
2021-09-26,33814
2021-10-03,31775
2021-10-10,31457
2021-10-17,29432
2021-10-24,31667
2021-10-31,35040
2021-11-07,33839
2021-11-14,34602
2021-11-21,34506
2021-11-28,33998
2021-12-05,34220
2021-12-12,29804
2021-12-19,26996
2021-12-26,24732
2022-01-02,22941
2022-01-09,21089
2022-01-16,23145
2022-01-23,26334
2022-01-30,32971
2022-02-06,40840
2022-02-13,41385
2022-02-20,40138
2022-02-27,34233
2022-03-06,28204
2022-03-13,23623
2022-03-20,19122
2022-03-27,29994
2022-04-03,11072
2022-04-10,9175
2022-04-17,7090
2022-04-24,5928
2022-05-01,7296
2022-05-08,3767
2022-05-15,3578
2022-05-22,3162
2022-05-29,2889
2022-06-05,2614
2022-06-12,2888
2022-06-19,3443
2022-06-26,3388
2022-07-03,3661
2022-07-10,4120
2022-07-17,4413
2022-07-24,5199
2022-07-31,5497
2022-08-07,6217
2022-08-14,5561
2022-08-21,5949
2022-08-28,5423
2022-09-04,5032
2022-09-11,3843
2022-09-18,3422
2022-09-25,3613
2022-10-02,2855
2022-10-09,2987
2022-10-16,2778
2022-10-23,3021
2022-10-30,2734
2022-11-06,3890
2022-11-13,2170
2022-11-20,1915
2022-11-27,2440
2022-12-04,2547
2022-12-11,2687
2022-12-18,3229
2022-12-25,3060
2023-01-01,3531
2023-01-08,3220
2023-01-15,62746
2023-01-22,15696
2023-01-29,8773
2023-02-05,5586
2023-02-12,1501
2023-02-19,1629
2023-02-26,1909
2023-03-05,1419
2023-03-12,778
