Date,Open,High,Low,Close,Adj Close,Volume
2012-09-03,899.000000,909.000000,899.000000,907.000000,683.073242,13336
2012-09-04,908.500000,909.000000,892.000000,896.000000,674.789001,22482
2012-09-05,894.500000,903.000000,891.500000,902.000000,679.307556,15271
2012-09-06,902.000000,909.000000,899.000000,908.500000,684.202881,15808
2012-09-07,909.000000,913.500000,897.500000,900.500000,678.177979,28875
2012-09-10,901.500000,906.500000,893.000000,893.500000,672.906128,21063
2012-09-11,893.500000,894.000000,883.500000,888.500000,669.140686,26294
2012-09-12,891.500000,891.500000,886.500000,890.000000,670.270447,23769
2012-09-13,890.000000,892.000000,887.000000,890.500000,670.646790,13773
2012-09-14,900.000000,904.500000,891.000000,896.500000,675.165405,42216
2012-09-17,896.000000,902.000000,893.000000,896.500000,675.165405,18922
2012-09-18,896.500000,897.000000,890.000000,894.500000,673.659302,14733
2012-09-19,897.000000,910.000000,896.000000,910.000000,685.332520,34102
2012-09-20,907.000000,907.000000,901.000000,902.500000,679.684204,20828
2012-09-21,903.000000,905.000000,895.500000,895.500000,674.412354,91900
2012-09-24,893.000000,897.500000,888.500000,892.000000,671.776489,21289
2012-09-25,895.000000,897.000000,891.000000,896.000000,674.789001,13325
2012-09-26,890.000000,893.000000,883.500000,887.000000,668.010986,17404
2012-09-27,891.500000,899.500000,888.500000,891.000000,671.023376,15550
2012-09-28,900.000000,902.000000,892.000000,892.500000,672.153015,24629
2012-10-01,894.000000,907.000000,894.000000,905.000000,681.567017,17670
2012-10-02,900.000000,917.000000,900.000000,909.500000,684.955933,25093
2012-10-03,910.000000,914.500000,905.000000,906.500000,682.696655,26012
2012-10-04,910.000000,914.000000,905.500000,910.000000,685.332520,27575
2012-10-05,916.500000,933.500000,914.500000,926.000000,697.382324,50211
2012-10-08,928.500000,929.000000,920.500000,923.500000,695.499451,21207
2012-10-09,930.000000,941.500000,928.000000,929.500000,700.018127,32472
2012-10-10,932.000000,933.000000,921.500000,931.500000,701.524536,18749
2012-10-11,930.500000,941.000000,929.500000,934.500000,703.783752,24941
2012-10-12,935.000000,941.000000,930.000000,930.000000,700.394836,22670
2012-10-15,932.000000,941.500000,930.000000,936.500000,705.290100,13644
2012-10-16,941.500000,946.000000,934.500000,941.000000,708.679016,16092
2012-10-17,950.000000,951.500000,944.500000,949.000000,714.703979,25109
2012-10-18,952.000000,952.000000,943.000000,943.000000,710.185303,18808
2012-10-19,945.000000,951.500000,940.000000,940.000000,707.925903,23283
2012-10-22,941.500000,944.000000,932.000000,934.500000,703.783752,16488
2012-10-23,936.000000,937.000000,918.500000,922.500000,694.746460,19903
2012-10-24,926.500000,931.000000,917.000000,922.000000,694.369934,18019
2012-10-25,925.500000,928.000000,923.000000,924.000000,695.876099,13004
2012-10-26,920.500000,925.000000,913.500000,922.000000,694.369934,14010
2012-10-29,919.500000,923.500000,915.500000,922.500000,694.746460,7459
2012-10-30,919.500000,927.000000,919.000000,923.500000,695.499451,8866
2012-10-31,925.000000,938.500000,922.500000,932.000000,701.901062,24829
2012-11-01,927.500000,934.000000,925.000000,929.500000,700.018127,12360
2012-11-02,927.500000,937.000000,925.000000,931.000000,701.147949,17157
2012-11-05,925.000000,927.500000,923.000000,925.500000,697.005798,12345
2012-11-06,926.500000,933.000000,925.000000,927.000000,698.135498,14610
2012-11-07,935.000000,937.000000,922.500000,924.500000,696.252625,13708
2012-11-08,928.500000,930.000000,918.000000,920.500000,693.240234,14527
2012-11-09,915.500000,920.500000,911.500000,918.000000,691.357422,13668
2012-11-12,919.000000,923.000000,912.000000,915.500000,689.474670,14244
2012-11-13,915.500000,925.500000,913.500000,922.000000,694.369934,17133
2012-11-14,923.500000,923.500000,917.500000,920.000000,692.863708,14186
2012-11-15,915.500000,920.000000,912.500000,913.000000,687.591980,15297
2012-11-16,910.000000,917.000000,905.500000,909.000000,684.579468,20562
2012-11-19,913.000000,919.500000,908.000000,916.000000,689.851196,20312
2012-11-20,911.500000,920.500000,907.500000,915.000000,689.098083,16573
2012-11-21,910.000000,919.000000,909.000000,919.000000,692.110474,16849
2012-11-22,920.000000,921.000000,912.500000,915.000000,689.098083,17310
2012-11-23,914.500000,929.000000,914.000000,923.500000,695.499451,14709
2012-11-26,924.000000,927.500000,921.000000,927.500000,698.512024,11050
2012-11-27,930.000000,937.500000,928.000000,932.000000,701.901062,15654
2012-11-28,932.000000,932.500000,925.000000,931.000000,701.147949,14273
2012-11-29,935.000000,943.000000,925.000000,925.000000,696.629272,29863
2012-11-30,929.000000,940.000000,929.000000,930.500000,700.771362,26841
2012-12-03,936.000000,940.500000,930.500000,933.500000,703.030640,19320
2012-12-04,933.500000,935.000000,928.000000,930.000000,700.394836,18161
2012-12-05,935.000000,935.500000,924.000000,926.500000,697.758850,13465
2012-12-06,928.000000,938.000000,925.500000,935.000000,704.160339,24274
2012-12-07,936.000000,940.500000,933.000000,935.500000,704.536926,11892
2012-12-10,934.000000,944.000000,934.000000,942.500000,709.808655,17048
2012-12-11,943.500000,945.000000,938.500000,944.000000,710.938354,13099
2012-12-12,944.000000,963.000000,943.500000,960.000000,722.988159,33519
2012-12-13,960.000000,961.500000,949.000000,959.500000,722.611511,21785
2012-12-14,964.000000,965.000000,958.000000,964.000000,726.000671,21096
2012-12-17,963.000000,965.000000,959.000000,964.000000,726.000671,18322
