Date,Open,High,Low,Close,Adj Close,Volume
2012-09-03,8.895000,8.985000,8.795000,8.850000,6.476154,704367
2012-09-04,8.850000,9.095000,8.850000,9.095000,6.655437,954657
2012-09-05,9.025000,9.070000,8.840000,8.850000,6.476154,1093275
2012-09-06,8.890000,9.030000,8.875000,8.975000,6.567625,837414
2012-09-07,9.020000,9.160000,8.960000,9.120000,6.673731,750046
2012-09-10,9.060000,9.200000,8.960000,9.190000,6.724955,745270
2012-09-11,9.090000,9.610000,9.090000,9.455000,6.918873,1883369
2012-09-12,9.455000,9.680000,9.325000,9.500000,6.951803,2148266
2012-09-13,8.715000,8.920000,8.600000,8.655000,6.923804,2039225
2012-09-14,8.800000,9.075000,8.760000,8.940000,7.151796,1482804
2012-09-17,9.000000,9.000000,8.680000,8.740000,6.991801,1101279
2012-09-18,8.630000,8.860000,8.510000,8.695000,6.955803,1134183
2012-09-19,8.735000,8.795000,8.540000,8.660000,6.927804,1580923
2012-09-20,8.625000,8.715000,8.515000,8.525000,6.819806,1128196
2012-09-21,8.590000,8.715000,8.520000,8.520000,6.815808,2930337
2012-09-24,8.510000,8.550000,8.310000,8.310000,6.647812,456378
2012-09-25,8.210000,8.270000,8.050000,8.270000,6.615813,895707
2012-09-26,8.140000,8.210000,7.850000,7.950000,6.359819,1094580
2012-09-27,7.900000,8.440000,7.900000,8.370000,6.695811,1211173
2012-09-28,8.400000,8.900000,8.400000,8.620000,6.895805,2384802
2012-10-01,8.570000,8.830000,8.570000,8.800000,7.039802,842234
2012-10-02,8.650000,8.920000,8.650000,8.680000,6.943803,791898
2012-10-03,8.690000,8.770000,8.610000,8.610000,6.887805,601440
2012-10-04,8.740000,8.790000,8.570000,8.690000,6.951803,1024119
2012-10-05,8.700000,8.720000,8.600000,8.660000,6.927804,706635
2012-10-08,8.670000,8.750000,8.600000,8.640000,6.911804,501405
2012-10-09,8.630000,8.760000,8.620000,8.650000,6.919804,994368
2012-10-10,8.630000,8.680000,8.440000,8.440000,6.751808,551602
2012-10-11,8.390000,8.390000,8.030000,8.240000,6.591814,1243200
2012-10-12,8.180000,8.350000,8.090000,8.090000,6.471817,795160
2012-10-15,8.030000,8.190000,8.000000,8.170000,6.535816,527125
2012-10-16,8.170000,8.210000,8.130000,8.190000,6.551815,611747
2012-10-17,8.140000,8.350000,8.120000,8.210000,6.567813,810907
2012-10-18,8.150000,8.260000,8.050000,8.180000,6.543815,740702
2012-10-19,8.150000,8.250000,8.120000,8.130000,6.503816,489469
2012-10-22,8.070000,8.210000,8.060000,8.160000,6.527816,734414
2012-10-23,8.070000,8.130000,7.950000,7.990000,6.391819,776203
2012-10-24,7.950000,8.330000,7.870000,8.240000,6.591814,2440801
2012-10-25,7.700000,7.780000,6.830000,6.920000,5.535844,9463754
2012-10-26,6.900000,7.250000,6.860000,7.100000,5.679839,3898692
2012-10-29,7.060000,7.060000,6.780000,6.900000,5.519845,1577782
2012-10-30,6.900000,7.070000,6.890000,7.000000,5.599841,800175
2012-10-31,7.000000,7.110000,6.710000,6.710000,5.367848,1513779
2012-11-01,6.780000,6.800000,6.670000,6.730000,5.383848,954519
2012-11-02,6.800000,6.800000,6.660000,6.730000,5.383848,1020280
2012-11-05,6.670000,6.790000,6.640000,6.750000,5.399848,634322
2012-11-06,6.760000,6.780000,6.670000,6.720000,5.375848,973128
2012-11-07,6.700000,6.790000,6.680000,6.720000,5.375848,976179
2012-11-08,6.750000,6.760000,6.640000,6.670000,5.335849,733545
2012-11-09,6.610000,6.720000,6.510000,6.710000,5.367848,827040
2012-11-12,6.660000,6.710000,6.510000,6.620000,5.295850,522845
2012-11-13,6.650000,6.650000,6.410000,6.560000,5.247851,920437
2012-11-14,6.500000,6.510000,6.330000,6.330000,5.063857,805457
2012-11-15,6.320000,6.320000,6.150000,6.320000,5.055857,1014122
2012-11-16,6.250000,6.370000,6.240000,6.350000,5.079856,659505
2012-11-19,6.370000,6.520000,6.370000,6.470000,5.175853,685120
2012-11-20,6.470000,6.520000,6.270000,6.270000,5.015858,863085
2012-11-21,6.310000,6.400000,6.200000,6.320000,5.055857,635071
2012-11-22,6.400000,6.590000,6.350000,6.560000,5.247851,876177
2012-11-23,6.550000,6.580000,6.420000,6.520000,5.215853,496068
2012-11-26,6.540000,6.630000,6.510000,6.540000,5.231852,565634
2012-11-27,6.590000,6.670000,6.510000,6.520000,5.215853,559131
2012-11-28,6.480000,6.480000,6.270000,6.360000,5.087856,589651
2012-11-29,6.380000,6.580000,6.370000,6.520000,5.215853,494651
2012-11-30,6.590000,6.590000,6.470000,6.540000,5.231852,462473
2012-12-03,6.600000,6.650000,6.480000,6.570000,5.255852,760975
2012-12-04,6.510000,6.580000,6.490000,6.520000,5.215853,605702
2012-12-05,6.500000,6.660000,6.500000,6.650000,5.319849,692969
2012-12-06,6.670000,6.950000,6.670000,6.910000,5.527843,1410812
2012-12-07,6.910000,7.090000,6.910000,7.070000,5.655839,1547473
2012-12-10,7.050000,7.050000,6.860000,7.030000,5.623841,399552
2012-12-11,7.020000,7.130000,6.910000,7.120000,5.695838,892876
2012-12-12,7.120000,7.130000,7.020000,7.080000,5.663839,602868
2012-12-13,7.030000,7.200000,6.970000,7.150000,5.719839,786778
2012-12-14,7.100000,7.140000,7.040000,7.120000,5.695838,507758
2012-12-17,6.950000,7.150000,6.950000,7.120000,5.695838,556917
2012-12-18,7.100000,7.200000,7.050000,7.110000,5.687839,753642
2012-12-19,7.100000,7.150000,7.000000,7.120000,5.695838,650885
2012-12-20,7.030000,7.190000,7.030000,7.150000,5.719839,718353
2012-12-21,7.170000,7.170000,6.970000,7.070000,5.655839,967115
2012-12-27,7.150000,7.160000,7.010000,7.060000,5.647840,344085
2012-12-28,7.080000,7.080000,6.900000,6.930000,5.543843,443485
2013-01-03,7.040000,7.170000,6.950000,7.110000,5.687839,953229
2013-01-04,7.150000,7.350000,7.100000,7.250000,5.799836,1010048
2013-01-07,7.250000,7.300000,7.100000,7.150000,5.719839,1189752
2013-01-08,7.130000,7.150000,6.950000,6.970000,5.575842,980739
2013-01-09,7.040000,7.060000,6.870000,7.000000,5.599841,1612310
2013-01-10,6.980000,7.040000,6.810000,7.000000,5.599841,1921979
2013-01-11,7.000000,7.050000,6.900000,6.970000,5.575842,943143
2013-01-14,7.100000,7.270000,7.070000,7.220000,5.775836,1926039
2013-01-15,7.110000,7.120000,6.880000,6.900000,5.519845,2328006
2013-01-16,6.870000,6.920000,6.670000,6.750000,5.399848,1776137
2013-01-17,6.760000,6.860000,6.710000,6.830000,5.463845,1429082
2013-01-18,6.830000,6.850000,6.770000,6.800000,5.439847,1080828
2013-01-21,6.770000,6.890000,6.700000,6.790000,5.431846,764585
2013-01-22,6.750000,6.810000,6.710000,6.750000,5.399848,681410
2013-01-23,6.700000,7.350000,6.690000,7.200000,5.759837,3554560
2013-01-24,6.520000,6.760000,6.290000,6.510000,5.207853,6040605
2013-01-25,6.460000,6.520000,6.390000,6.410000,5.127855,1771157
2013-01-28,6.440000,6.450000,6.250000,6.350000,5.079856,1640027
2013-01-29,6.350000,6.350000,6.260000,6.310000,5.047857,803944
2013-01-30,6.270000,6.310000,6.150000,6.230000,4.983859,1182186
2013-01-31,6.200000,6.250000,6.080000,6.120000,4.895862,1444326
2013-02-01,6.070000,6.250000,6.030000,6.180000,4.943860,2444556
2013-02-04,6.240000,6.270000,6.150000,6.160000,4.927861,658841
2013-02-05,6.180000,6.240000,6.080000,6.140000,4.911860,1104271
2013-02-06,6.220000,6.310000,6.190000,6.280000,5.023858,1510458
2013-02-07,6.230000,6.270000,6.160000,6.200000,4.959859,779220
2013-02-08,6.280000,6.300000,6.150000,6.230000,4.983859,941972
2013-02-11,6.250000,6.290000,6.230000,6.280000,5.023858,335213
2013-02-12,6.260000,6.290000,6.250000,6.270000,5.015858,256381
2013-02-13,6.290000,6.450000,6.240000,6.390000,5.111855,934296
2013-02-14,6.430000,6.710000,6.380000,6.640000,5.311850,2283165
2013-02-15,6.660000,6.750000,6.580000,6.700000,5.359848,1404057
2013-02-18,6.710000,6.770000,6.630000,6.690000,5.351849,788950
2013-02-19,6.710000,6.750000,6.640000,6.710000,5.367848,684850
2013-02-20,6.760000,6.760000,6.580000,6.610000,5.287850,723092
2013-02-21,6.530000,6.560000,6.300000,6.320000,5.055857,1269163
2013-02-22,6.330000,6.480000,6.330000,6.440000,5.151855,495740
2013-02-25,6.480000,6.580000,6.440000,6.460000,5.167854,491022
2013-02-26,6.440000,6.460000,6.330000,6.410000,5.127855,604547
2013-02-27,6.420000,6.430000,6.260000,6.360000,5.087856,780070
2013-02-28,6.400000,6.400000,6.280000,6.330000,5.063857,771585
2013-03-01,6.460000,6.590000,6.380000,6.410000,5.127855,1150729
2013-03-04,6.380000,6.380000,6.210000,6.220000,4.975859,659461
2013-03-05,6.280000,6.410000,6.280000,6.400000,5.119856,716233
2013-03-06,6.420000,6.440000,6.270000,6.400000,5.119856,918726
2013-03-07,6.400000,6.440000,6.350000,6.380000,5.103856,655168
2013-03-08,6.380000,6.430000,6.370000,6.410000,5.127855,454987
2013-03-11,6.480000,6.480000,6.360000,6.440000,5.151855,686502
2013-03-12,6.470000,6.540000,6.460000,6.490000,5.191853,998862
2013-03-13,6.510000,6.540000,6.360000,6.460000,5.167854,1736278
2013-03-14,6.440000,6.500000,6.390000,6.410000,5.127855,762953
