,ABB LTD,ALCON,GEBERIT,GIVAUDAN,HOLCIM,KUEHNE NAEL,LOGITECH,LONZA,NESTLE,NOVARTIS,PARTNERS GROUP,RICHEMONT,ROCHE,SIKA,SONOVA,SWISS LIFE HOLDING,SWISS RE,SWISSCOM,UBS GROUP,ZURICH INSURANCE
2012-09-03,16.709999,,204.100006,907.0,56.095238,109.599998,8.85,40.840107,59.950001,49.945457,183.300003,60.0,174.800003,30.766666,89.056259,109.099998,60.299999,385.200012,10.73,229.399994
2012-09-04,16.48,,200.199997,896.0,55.333332,107.400002,9.095,40.376961,59.150002,49.459263,189.0,59.150002,173.0,30.183332,88.70858,109.300003,60.150002,385.799988,10.56,228.100006
2012-09-05,16.459999,,201.899994,902.0,55.523808,105.900002,8.85,40.108337,59.75,50.078056,189.0,60.049999,174.600006,30.333332,91.837715,109.0,60.150002,385.799988,10.88,229.600006
2012-09-06,17.120001,,203.699997,908.5,56.904762,108.5,8.975,41.312515,60.150002,50.475853,191.199997,61.150002,177.600006,30.866667,95.314537,110.699997,61.349998,390.299988,11.38,233.300003
2012-09-07,17.66,,203.199997,900.5,58.523808,110.0,9.12,41.747871,59.25,50.033855,194.5,63.25,177.899994,31.4,95.960236,114.0,61.5,385.299988,11.66,235.0
2012-09-10,17.700001,,203.5,893.5,58.666664,110.099998,9.19,41.618191,58.849998,49.591862,195.699997,64.150002,175.300003,31.75,94.867516,114.199997,61.25,381.700012,11.75,234.100006
2012-09-11,17.77,,203.100006,888.5,59.0,110.800003,9.455,41.349567,58.950001,49.547661,192.899994,60.849998,175.600006,32.066666,95.960236,115.800003,61.849998,384.799988,11.83,236.5
2012-09-12,17.99,,203.600006,890.0,59.0,110.699997,9.5,43.53561,58.400002,49.238266,194.600006,59.400002,174.100006,32.416664,95.860893,117.400002,61.849998,387.299988,12.05,239.699997
2012-09-13,18.120001,,203.300003,890.5,58.619045,110.0,8.655,45.684601,58.650002,49.459263,194.0,59.900002,175.699997,32.0,97.35096,116.900002,62.25,386.799988,12.03,240.5
2012-09-14,18.610001,,207.5,896.5,60.523808,114.0,8.94,47.055511,58.349998,49.149864,198.899994,62.549999,176.0,33.0,96.804604,117.5,63.299999,385.299988,12.52,242.899994
2012-09-17,18.450001,,207.0,896.5,60.238094,113.900002,8.74,45.55492,58.549999,49.149864,198.600006,61.099998,175.800003,32.183334,96.903938,117.699997,62.700001,380.5,12.4,242.100006
2012-09-18,18.27,,206.699997,894.5,59.523808,111.099998,8.695,44.582317,59.0,49.238266,198.0,61.0,176.100006,31.583332,96.953613,115.800003,62.450001,379.799988,12.01,240.600006
2012-09-19,18.379999,,205.0,910.0,60.714287,109.199997,8.66,44.943569,59.400002,49.547661,194.5,61.150002,177.899994,31.65,97.797981,115.800003,62.099998,379.5,12.0,239.5
2012-09-20,18.219999,,207.0,902.5,60.714287,107.400002,8.525,45.666077,59.349998,49.812859,194.5,60.200001,177.300003,31.6,97.450294,114.099998,61.650002,381.100006,11.89,238.100006
2012-09-21,18.290001,,208.699997,895.5,60.571426,107.5,8.52,47.055511,59.400002,50.564251,191.600006,59.650002,179.0,32.033333,99.188705,116.800003,62.349998,382.299988,12.16,240.399994
2012-09-24,18.24,,206.100006,892.0,60.142857,107.900002,8.31,45.943962,59.349998,50.873646,194.399994,58.950001,178.699997,31.916666,97.003281,114.400002,62.200001,381.5,12.03,238.600006
2012-09-25,18.139999,,206.399994,896.0,59.952381,107.900002,8.27,47.333397,59.799999,50.962048,195.0,59.5,178.399994,32.333332,94.668839,115.900002,62.549999,383.399994,12.07,239.199997
2012-09-26,17.77,,202.899994,887.0,58.285713,107.099998,7.95,45.869862,59.799999,50.741051,192.199997,58.099998,177.100006,31.783333,94.023148,112.699997,61.049999,380.399994,11.55,234.800003
2012-09-27,17.860001,,204.0,891.0,58.047619,107.400002,8.37,46.101433,59.650002,50.873646,192.199997,57.400002,178.300003,31.950001,95.463547,113.300003,61.0,382.299988,11.62,235.300003
2012-09-28,17.639999,,204.5,892.5,57.047619,106.199997,8.62,45.564182,59.299999,50.873646,195.699997,56.400002,175.699997,31.966665,94.420502,111.900002,60.450001,378.0,11.45,234.199997
2012-10-01,17.959999,,207.100006,905.0,58.095238,107.199997,8.8,46.63868,60.0,51.492439,198.0,57.5,179.800003,32.400002,97.450294,114.5,61.349998,380.200012,11.7,239.600006
2012-10-02,17.99,,206.300003,909.5,58.42857,106.400002,8.68,46.916569,59.799999,51.35984,196.399994,58.650002,179.5,32.266666,99.536392,116.800003,63.0,382.299988,11.77,238.899994
2012-10-03,17.98,,206.199997,906.5,58.952381,105.800003,8.61,46.870251,59.700001,51.315643,196.600006,57.950001,179.5,31.983334,98.940361,117.0,64.050003,384.5,11.87,238.100006
2012-10-04,18.040001,,207.5,910.0,59.333332,105.900002,8.69,46.870251,59.950001,51.448242,196.0,58.299999,181.0,32.016666,99.933739,117.800003,65.400002,383.5,11.96,238.800003
2012-10-05,18.200001,,209.800003,926.0,60.238094,106.0,8.66,44.906517,60.400002,51.625038,198.600006,58.599998,182.899994,32.299999,97.897316,118.699997,64.900002,387.299988,12.01,240.0
2012-10-08,18.02,,207.600006,923.5,60.857143,105.300003,8.64,44.517475,60.650002,51.713436,197.100006,57.5,183.0,32.0,97.301292,117.300003,64.199997,384.399994,11.8,238.399994
2012-10-09,17.799999,,205.399994,929.5,60.333332,105.699997,8.65,44.082123,61.0,51.580841,196.899994,57.349998,183.300003,31.416666,96.05957,116.300003,63.799999,382.600006,11.7,236.899994
2012-10-10,17.540001,,203.399994,931.5,60.142857,106.099998,8.44,43.202145,61.25,51.227242,195.800003,57.299999,181.199997,31.116667,95.513214,116.400002,63.75,383.200012,11.68,236.399994
2012-10-11,17.719999,,206.300003,934.5,60.571426,106.0,8.24,43.341087,61.150002,51.006245,196.100006,59.900002,181.199997,31.166666,95.811226,118.300003,63.799999,382.600006,11.79,238.399994
