date,open,high,low,close,volume,currency
2018-09-10,478.62,490.84,462.06,466.17,89893064.55,Bitcoin Cash
2018-09-11,466.17,475.19,428.66,439.87,102550249.87,Bitcoin Cash
2018-09-12,439.68,442.77,418.82,432.63,97654531.83,Bitcoin Cash
2018-09-13,432.7,474.05,439.31,464.5,108831514.58,Bitcoin Cash
2018-09-14,464.51,468.29,444.29,447.92,87703243.59,Bitcoin Cash
2018-09-15,447.88,459.09,445.91,450.48,89805723.77,Bitcoin Cash
2018-09-16,450.46,453.35,433.97,450.29,88146228.9,Bitcoin Cash
2018-09-17,450.36,443.19,412.13,419.14,89952858.18,Bitcoin Cash
2018-09-18,419.13,448.95,418.55,434.73,97912247.1,Bitcoin Cash
2018-09-19,434.73,442.48,425.9,430.64,93121493.85,Bitcoin Cash
2018-09-20,430.58,465.37,320.03,457.3,195291615.91,Bitcoin Cash
2018-09-21,457.3,506.95,331.21,500.93,292066837.23,Bitcoin Cash
2018-09-22,500.93,501.6,476.41,493.0,242145614.87,Bitcoin Cash
2018-09-23,493.0,500.56,478.57,492.65,245671244.11,Bitcoin Cash
2018-09-24,492.65,490.28,463.55,466.31,236439079.01,Bitcoin Cash
2018-09-25,466.38,461.84,266.01,432.17,231934676.85,Bitcoin Cash
2018-09-26,432.17,597.6,344.65,495.29,316927905.46,Bitcoin Cash
2018-09-27,514.23,588.72,513.06,566.03,133187147.75,Bitcoin Cash
2018-09-28,566.25,568.92,531.23,539.46,211355848.56,Bitcoin Cash
2018-09-29,539.46,558.41,517.4,538.67,171268011.2,Bitcoin Cash
2018-09-30,538.73,552.28,522.41,531.82,153055414.67,Bitcoin Cash
2018-10-01,531.5,538.48,526.81,532.21,125046670.95,Bitcoin Cash
2018-10-02,532.21,546.51,524.45,531.76,148575051.67,Bitcoin Cash
2018-10-03,531.76,531.0,511.14,515.81,131638069.0,Bitcoin Cash
2018-10-04,515.84,531.25,510.26,514.21,130295332.52,Bitcoin Cash
2018-10-05,514.23,525.72,516.24,521.87,110213404.0,Bitcoin Cash
2018-10-06,521.94,519.81,504.2,510.98,119760202.02,Bitcoin Cash
2018-10-07,510.98,522.61,509.74,519.77,118406196.84,Bitcoin Cash
2018-10-08,519.86,531.74,523.36,530.21,131716644.08,Bitcoin Cash
2018-10-09,530.21,529.22,516.55,518.34,142925799.48,Bitcoin Cash
2018-10-10,518.34,516.88,510.82,513.39,142621993.4,Bitcoin Cash
2018-10-11,513.32,484.9,429.63,431.0,141391983.8,Bitcoin Cash
2018-10-12,431.0,451.31,431.68,442.31,104421092.35,Bitcoin Cash
2018-10-13,442.4,451.81,442.47,449.18,98672386.88,Bitcoin Cash
2018-10-14,449.18,451.68,438.12,439.57,93849709.36,Bitcoin Cash
2018-10-15,439.57,481.97,450.76,460.29,169977785.47,Bitcoin Cash
2018-10-16,460.18,465.82,455.15,457.32,121340638.42,Bitcoin Cash
2018-10-17,457.32,458.97,448.51,450.68,123179226.28,Bitcoin Cash
2018-10-18,450.81,450.58,433.32,438.12,107084582.01,Bitcoin Cash
2018-10-19,438.23,444.76,433.96,442.82,102382466.9,Bitcoin Cash
2018-10-20,442.82,452.0,441.55,449.73,102561235.73,Bitcoin Cash
2018-10-21,449.73,457.9,447.94,450.61,116682764.71,Bitcoin Cash
2018-10-22,450.68,452.46,444.81,449.68,93120859.26,Bitcoin Cash
2018-10-23,449.75,450.52,440.23,444.31,92615172.53,Bitcoin Cash
2018-10-24,444.27,447.38,440.26,441.75,95484315.32,Bitcoin Cash
2018-10-25,441.76,443.93,439.86,440.83,75627143.87,Bitcoin Cash
2018-10-26,440.83,441.41,436.31,437.99,87251103.93,Bitcoin Cash
2018-10-27,437.99,440.1,436.41,438.29,86014720.9,Bitcoin Cash
2018-10-28,438.29,442.02,436.65,440.72,86261567.32,Bitcoin Cash
2018-10-29,440.72,431.05,412.3,416.28,102056847.04,Bitcoin Cash
2018-10-30,416.31,424.54,415.33,422.58,89931801.76,Bitcoin Cash
2018-10-31,422.65,428.0,415.76,425.21,101835744.23,Bitcoin Cash
2018-11-01,425.22,428.95,424.04,425.38,94013829.02,Bitcoin Cash
2018-11-02,425.38,473.97,424.67,463.29,174281414.8,Bitcoin Cash
2018-11-03,463.29,486.96,458.01,480.26,156523991.26,Bitcoin Cash
2018-11-04,480.22,589.92,486.52,569.1,408647647.05,Bitcoin Cash
2018-11-05,569.04,579.17,538.18,560.06,284710997.02,Bitcoin Cash
2018-11-06,560.04,632.36,556.35,630.74,335008976.19,Bitcoin Cash
2018-11-07,630.74,641.02,609.22,616.21,317597451.33,Bitcoin Cash
2018-11-08,616.39,611.02,573.05,575.18,266785664.3,Bitcoin Cash
2018-11-09,575.12,591.62,528.29,543.4,257527547.03,Bitcoin Cash
2018-11-10,543.4,563.97,531.67,555.84,230016296.76,Bitcoin Cash
2018-11-11,555.72,556.81,518.74,533.35,248935565.14,Bitcoin Cash
2018-11-12,533.22,534.55,499.04,515.11,347314396.65,Bitcoin Cash
2018-11-13,515.11,543.14,501.68,509.99,343124093.14,Bitcoin Cash
2018-11-14,509.99,475.57,415.11,439.39,409471036.91,Bitcoin Cash
2018-11-15,439.49,460.16,342.07,385.61,178656468.55,Bitcoin Cash
2018-11-16,330.42,368.91,288.49,347.93,35398609.69,Bitcoin Cash
2018-11-17,346.18,355.41,282.24,290.95,45337184.1,Bitcoin Cash
2018-11-18,292.69,337.31,280.5,333.76,55969716.72,Bitcoin Cash
2018-11-19,333.79,286.06,213.44,225.29,27360826.59,Bitcoin Cash
2018-11-20,225.29,226.18,190.88,218.34,32862948.31,Bitcoin Cash
2018-11-21,219.64,251.16,154.24,241.61,30805519.36,Bitcoin Cash
2018-11-22,241.61,222.2,177.26,178.51,20978612.86,Bitcoin Cash
2018-11-23,178.51,180.12,138.17,140.64,18176037.11,Bitcoin Cash
2018-11-24,140.64,190.55,61.03,61.71,7904568.68,Bitcoin Cash
2018-11-25,178.95,204.05,170.86,185.15,27426070.81,Bitcoin Cash
2018-11-26,185.29,205.54,161.72,184.5,31615971.78,Bitcoin Cash
2018-11-27,180.76,197.24,163.08,178.51,24164247.44,Bitcoin Cash
2018-11-28,178.54,207.67,179.4,197.84,28745146.95,Bitcoin Cash
2018-11-29,197.84,256.11,160.95,180.92,20748754.64,Bitcoin Cash
2018-11-30,180.92,188.49,153.5,171.56,26440256.93,Bitcoin Cash
2018-12-01,171.56,187.23,158.79,171.83,56683144.78,Bitcoin Cash
2018-12-02,171.83,176.26,147.27,155.39,47925196.48,Bitcoin Cash
2018-12-03,155.4,169.92,46.21,158.02,27738330.56,Bitcoin Cash
2018-12-04,158.02,170.22,135.08,148.26,32664149.77,Bitcoin Cash
2018-12-05,148.26,147.28,117.82,127.98,41350997.81,Bitcoin Cash
2018-12-06,127.98,133.84,84.99,132.93,41478598.45,Bitcoin Cash
2018-12-07,110.55,121.64,100.05,105.22,54426783.21,Bitcoin Cash
2018-12-08,105.22,109.72,99.02,103.76,33605873.38,Bitcoin Cash
2018-12-09,103.76,116.26,103.37,110.77,46901858.49,Bitcoin Cash
2018-12-10,130.3,128.79,112.47,115.19,27694855.56,Bitcoin Cash
2018-12-11,115.19,135.6,95.09,115.35,31138774.99,Bitcoin Cash
2018-12-12,115.35,130.35,96.86,97.76,30367296.72,Bitcoin Cash
2018-12-13,97.76,98.48,84.33,87.25,26497209.38,Bitcoin Cash
2018-12-14,94.66,93.73,78.36,80.18,27014645.31,Bitcoin Cash
2018-12-15,80.18,82.91,75.93,78.42,24639384.81,Bitcoin Cash
2018-12-16,78.42,85.03,77.51,81.48,54257502.52,Bitcoin Cash
2018-12-17,81.48,93.46,86.54,91.44,42404271.86,Bitcoin Cash
2018-12-18,91.44,110.99,90.89,106.42,110207083.08,Bitcoin Cash
2018-12-19,106.42,142.55,104.29,128.95,201825077.48,Bitcoin Cash
2018-12-20,128.95,208.08,137.87,195.38,369804193.11,Bitcoin Cash
2018-12-21,195.38,216.97,171.0,196.89,290145822.08,Bitcoin Cash
2018-12-22,196.89,216.74,192.31,198.54,118103940.42,Bitcoin Cash
2018-12-23,198.54,210.56,187.76,200.7,80972114.41,Bitcoin Cash
2018-12-24,200.7,208.59,179.52,183.89,93235969.19,Bitcoin Cash
