date,open,high,low,close,volume,currency
2018-09-10,9.505,9.784,9.404,9.575,4455759.85,Binance Coin
2018-09-11,9.575,9.538,9.254,9.368,6276262.63,Binance Coin
2018-09-12,9.387,9.563,9.062,9.208,8637741.53,Binance Coin
2018-09-13,9.195,9.706,9.4,9.589,9400436.46,Binance Coin
2018-09-14,9.615,10.02,9.528,9.898,10411910.26,Binance Coin
2018-09-15,9.897,10.29,9.92,10.09,11135768.31,Binance Coin
2018-09-16,10.12,10.09,9.806,9.942,8468527.3,Binance Coin
2018-09-17,9.942,9.674,9.292,9.373,8340775.88,Binance Coin
2018-09-18,9.417,9.615,9.393,9.532,9133603.31,Binance Coin
2018-09-19,9.539,9.809,9.528,9.63,9236087.94,Binance Coin
2018-09-20,9.643,10.08,9.759,10.05,10748177.77,Binance Coin
2018-09-21,10.06,10.48,10.19,10.47,10150407.76,Binance Coin
2018-09-22,10.47,10.42,10.1,10.26,6327554.69,Binance Coin
2018-09-23,10.28,10.34,10.14,10.28,7346273.15,Binance Coin
2018-09-24,10.3,10.13,9.915,10.03,6885384.41,Binance Coin
2018-09-25,10.05,9.869,9.496,9.811,6097930.15,Binance Coin
2018-09-26,9.811,9.855,9.59,9.7,6400555.24,Binance Coin
2018-09-27,9.733,10.14,9.996,10.05,9799414.88,Binance Coin
2018-09-28,10.06,10.09,9.86,9.96,9653884.66,Binance Coin
2018-09-29,9.98,10.1,9.84,10.01,9923356.48,Binance Coin
2018-09-30,10.0,10.05,9.916,10.02,9471008.09,Binance Coin
2018-10-01,10.02,9.991,9.886,9.952,9319217.67,Binance Coin
2018-10-02,9.952,10.58,9.801,10.29,16088436.06,Binance Coin
2018-10-03,10.31,10.45,10.06,10.28,15293366.48,Binance Coin
2018-10-04,10.28,10.42,10.23,10.27,12331729.8,Binance Coin
2018-10-05,10.27,10.84,10.29,10.67,17475631.39,Binance Coin
2018-10-06,10.67,10.72,10.33,10.42,12470366.36,Binance Coin
2018-10-07,10.41,10.56,10.37,10.56,14037457.01,Binance Coin
2018-10-08,10.56,10.66,10.49,10.53,12989824.58,Binance Coin
2018-10-09,10.53,10.58,10.25,10.38,10708974.88,Binance Coin
2018-10-10,10.37,10.41,10.21,10.31,10639385.42,Binance Coin
2018-10-11,10.33,9.83,9.215,9.296,8087153.86,Binance Coin
2018-10-12,9.32,9.608,9.289,9.501,9703200.73,Binance Coin
2018-10-13,9.509,9.664,9.489,9.583,10150780.25,Binance Coin
2018-10-14,9.583,9.624,9.442,9.504,8196649.41,Binance Coin
2018-10-15,9.504,10.4,9.588,10.34,16816742.41,Binance Coin
2018-10-16,10.34,10.3,9.921,10.0,12027136.98,Binance Coin
2018-10-17,10.01,10.1,9.875,9.987,14177202.85,Binance Coin
2018-10-18,9.99,9.895,9.681,9.727,12058062.31,Binance Coin
2018-10-19,9.741,9.807,9.607,9.807,10661476.42,Binance Coin
2018-10-20,9.807,9.84,9.736,9.781,9510769.95,Binance Coin
2018-10-21,9.781,9.83,9.739,9.791,9620793.76,Binance Coin
2018-10-22,9.778,9.777,9.692,9.738,10001988.35,Binance Coin
2018-10-23,9.746,9.861,9.699,9.789,11677696.78,Binance Coin
2018-10-24,9.803,9.812,9.669,9.734,10176093.0,Binance Coin
2018-10-25,9.734,9.746,9.655,9.707,9920943.44,Binance Coin
2018-10-26,9.707,9.712,9.647,9.699,9263425.81,Binance Coin
2018-10-27,9.699,9.718,9.628,9.666,8404042.75,Binance Coin
2018-10-28,9.673,9.706,9.622,9.68,8737915.41,Binance Coin
2018-10-29,9.68,9.458,9.332,9.395,7593232.14,Binance Coin
2018-10-30,9.402,9.445,9.35,9.394,7040142.17,Binance Coin
2018-10-31,9.407,9.457,9.387,9.444,6968919.32,Binance Coin
2018-11-01,9.451,9.61,9.476,9.566,7689785.45,Binance Coin
2018-11-02,9.566,9.643,9.534,9.592,8311488.97,Binance Coin
2018-11-03,9.605,9.622,9.507,9.558,8056268.86,Binance Coin
2018-11-04,9.578,9.875,9.655,9.791,9308581.28,Binance Coin
2018-11-05,9.785,9.741,9.644,9.696,8103578.22,Binance Coin
2018-11-06,9.702,9.83,9.713,9.81,8586143.59,Binance Coin
2018-11-07,9.804,9.899,9.795,9.821,8197398.6,Binance Coin
2018-11-08,9.829,9.753,9.598,9.637,7675892.22,Binance Coin
2018-11-09,9.643,9.561,9.478,9.541,7278018.76,Binance Coin
2018-11-10,9.541,9.575,9.441,9.524,7122080.49,Binance Coin
2018-11-11,9.531,9.561,9.42,9.478,7126433.31,Binance Coin
2018-11-12,9.484,9.435,9.206,9.384,6523838.01,Binance Coin
2018-11-13,9.378,9.407,9.154,9.198,5735836.08,Binance Coin
2018-11-14,9.217,8.515,8.21,8.423,5704762.97,Binance Coin
2018-11-15,8.421,8.324,8.127,8.211,6602514.57,Binance Coin
2018-11-16,8.206,8.15,7.877,7.91,6606070.48,Binance Coin
2018-11-17,7.922,7.908,7.479,7.758,6750503.34,Binance Coin
2018-11-18,7.756,8.013,7.8,8.007,5050037.76,Binance Coin
2018-11-19,8.007,6.863,6.373,6.565,6695326.98,Binance Coin
2018-11-20,6.551,6.121,5.539,5.761,7383681.82,Binance Coin
2018-11-21,5.761,6.196,5.819,6.191,4710483.5,Binance Coin
2018-11-22,6.191,5.88,5.669,5.703,3083334.88,Binance Coin
2018-11-23,5.716,5.746,5.49,5.568,2717904.12,Binance Coin
2018-11-24,5.568,5.099,4.756,5.095,3185699.66,Binance Coin
2018-11-25,5.091,5.289,4.949,5.169,2683469.33,Binance Coin
2018-11-26,5.186,4.958,4.769,4.946,2476623.28,Binance Coin
2018-11-27,4.958,5.008,4.817,4.916,2173674.54,Binance Coin
2018-11-28,4.916,5.555,5.257,5.338,3227990.45,Binance Coin
2018-11-29,5.342,5.461,5.315,5.367,2700641.17,Binance Coin
2018-11-30,5.371,5.084,4.98,5.072,2524393.38,Binance Coin
2018-12-01,5.072,5.352,5.234,5.285,2167354.96,Binance Coin
2018-12-02,5.285,5.337,5.188,5.254,2771987.59,Binance Coin
2018-12-03,5.259,5.11,4.878,5.11,3608828.13,Binance Coin
2018-12-04,5.11,6.318,5.2,5.887,14181945.47,Binance Coin
2018-12-05,5.887,6.335,5.505,6.017,21155314.83,Binance Coin
2018-12-06,6.017,5.618,4.761,4.879,11565058.23,Binance Coin
2018-12-07,4.879,4.854,4.354,4.532,6748513.75,Binance Coin
2018-12-08,4.532,4.801,4.475,4.686,5147452.26,Binance Coin
2018-12-09,4.686,4.994,4.761,4.84,5273302.09,Binance Coin
2018-12-10,4.84,4.785,4.58,4.674,5182982.42,Binance Coin
