date,open,high,low,close,volume,currency
2018-09-10,195.78,202.45,189.92,197.2,303974212.47,Ethereum
2018-09-11,197.13,199.12,175.96,185.15,175106713.96,Ethereum
2018-09-12,185.15,185.15,167.6,183.03,245547248.93,Ethereum
2018-09-13,183.03,214.92,183.03,211.27,329648784.19,Ethereum
2018-09-14,211.27,223.98,202.8,208.87,312268002.01,Ethereum
2018-09-15,208.87,227.67,208.38,221.63,168167381.91,Ethereum
2018-09-16,221.62,223.42,207.9,220.12,129504097.06,Ethereum
2018-09-17,220.12,225.58,192.51,196.04,334881838.36,Ethereum
2018-09-18,196.04,214.68,194.0,208.39,208223203.44,Ethereum
2018-09-19,208.39,215.34,197.43,209.78,209614073.37,Ethereum
2018-09-20,209.78,228.89,206.97,224.76,179337694.48,Ethereum
2018-09-21,224.76,252.21,221.25,247.69,324152515.33,Ethereum
2018-09-22,247.83,250.66,236.22,240.79,409452093.96,Ethereum
2018-09-23,240.79,246.59,237.68,244.51,397419376.76,Ethereum
2018-09-24,244.52,240.83,226.14,228.05,374933135.5,Ethereum
2018-09-25,227.92,227.92,202.9,219.2,274370639.08,Ethereum
2018-09-26,219.2,222.62,207.31,214.21,167260754.49,Ethereum
2018-09-27,214.21,234.2,210.05,229.09,175768934.72,Ethereum
2018-09-28,229.09,234.06,214.97,221.56,196588546.04,Ethereum
2018-09-29,221.56,237.16,213.33,231.32,169490766.55,Ethereum
2018-09-30,231.59,237.33,229.58,232.82,293929555.6,Ethereum
2018-10-01,232.89,233.0,227.66,230.96,214943264.91,Ethereum
2018-10-02,230.96,228.91,224.93,225.59,253977370.59,Ethereum
2018-10-03,225.59,224.57,218.14,220.02,274098108.31,Ethereum
2018-10-04,220.03,225.42,221.02,222.2,280874068.18,Ethereum
2018-10-05,222.21,230.03,222.53,228.17,292340594.21,Ethereum
2018-10-06,228.17,227.29,223.99,225.05,226441423.93,Ethereum
2018-10-07,225.05,226.29,223.91,226.02,242163119.88,Ethereum
2018-10-08,226.03,230.49,226.24,229.23,275169500.71,Ethereum
2018-10-09,229.23,229.53,226.94,227.67,270655286.62,Ethereum
2018-10-10,227.67,226.52,224.41,225.2,270423278.34,Ethereum
2018-10-11,225.26,225.26,186.88,189.83,280686354.91,Ethereum
2018-10-12,190.32,198.15,191.59,195.71,259967593.22,Ethereum
2018-10-13,195.75,200.55,195.66,199.3,215324446.91,Ethereum
2018-10-14,199.3,200.13,193.92,194.92,209424639.04,Ethereum
2018-10-15,194.99,232.03,192.88,210.8,352120919.31,Ethereum
2018-10-16,209.89,210.59,207.7,209.67,259593356.15,Ethereum
2018-10-17,209.6,210.32,207.16,207.75,255940199.65,Ethereum
2018-10-18,207.81,205.82,201.09,202.25,221799891.23,Ethereum
2018-10-19,202.27,203.46,200.94,203.01,151832262.46,Ethereum
2018-10-20,203.01,206.08,203.28,204.97,149570216.48,Ethereum
2018-10-21,204.97,207.27,204.67,205.0,163617144.5,Ethereum
2018-10-22,205.0,204.74,203.12,203.64,191508315.64,Ethereum
2018-10-23,203.67,205.56,201.22,203.29,177173032.3,Ethereum
2018-10-24,203.31,204.71,202.25,202.58,168240717.09,Ethereum
2018-10-25,202.59,202.28,200.93,201.7,176755399.67,Ethereum
2018-10-26,201.7,204.31,200.95,202.43,169491166.29,Ethereum
2018-10-27,202.43,203.55,202.52,203.29,162718697.85,Ethereum
2018-10-28,203.29,204.67,203.12,204.54,153707591.53,Ethereum
2018-10-29,204.54,200.21,195.23,195.92,215314502.6,Ethereum
2018-10-30,195.94,197.1,195.39,196.65,245233441.42,Ethereum
2018-10-31,196.65,198.33,196.24,198.02,238281673.83,Ethereum
2018-11-01,198.02,199.61,198.52,198.97,233664637.3,Ethereum
2018-11-02,198.97,202.14,197.79,201.11,203212853.44,Ethereum
2018-11-03,201.11,200.79,199.52,199.9,160790602.79,Ethereum
2018-11-04,199.9,216.71,202.29,211.54,240039049.53,Ethereum
2018-11-05,211.54,210.83,207.42,209.55,221169670.15,Ethereum
2018-11-06,209.54,219.6,210.14,219.34,266382838.22,Ethereum
2018-11-07,219.34,222.21,216.85,217.44,295458250.74,Ethereum
2018-11-08,217.48,215.81,211.56,211.69,234738959.81,Ethereum
2018-11-09,211.69,211.11,208.31,209.52,199608128.23,Ethereum
2018-11-10,209.52,213.13,209.93,212.04,196079456.84,Ethereum
2018-11-11,212.04,212.75,210.32,211.66,219760467.39,Ethereum
2018-11-12,211.66,211.08,208.98,210.31,199753463.08,Ethereum
2018-11-13,210.31,209.38,205.2,205.9,193734382.99,Ethereum
2018-11-14,206.43,208.15,171.51,182.72,318920969.0,Ethereum
2018-11-15,182.72,185.67,168.57,181.53,206578170.27,Ethereum
2018-11-16,180.89,179.65,174.63,174.96,333375893.36,Ethereum
2018-11-17,175.04,175.92,173.25,174.47,297438902.54,Ethereum
2018-11-18,174.44,179.01,174.47,177.39,271156395.11,Ethereum
2018-11-19,177.55,177.58,144.85,148.22,300853051.45,Ethereum
2018-11-20,148.22,152.22,124.36,130.74,427274827.74,Ethereum
2018-11-21,130.74,139.42,124.5,136.5,228871551.23,Ethereum
2018-11-22,136.23,129.1,125.04,125.08,287547275.65,Ethereum
2018-11-23,124.83,127.14,118.18,123.37,174492308.72,Ethereum
2018-11-24,122.92,113.12,108.49,112.66,266514785.32,Ethereum
2018-11-25,112.74,120.55,100.96,116.75,253590457.32,Ethereum
2018-11-26,116.68,119.22,104.87,108.87,181319493.57,Ethereum
2018-11-27,108.51,110.87,106.28,109.87,309080721.8,Ethereum
2018-11-28,110.21,126.71,110.2,122.88,181557557.02,Ethereum
2018-11-29,122.83,123.89,117.5,117.76,278297083.78,Ethereum
2018-11-30,117.76,114.2,109.62,112.91,248836912.67,Ethereum
2018-12-01,112.91,120.68,116.82,118.24,252048473.51,Ethereum
2018-12-02,118.25,117.44,115.57,116.24,237903787.16,Ethereum
2018-12-03,116.24,109.95,107.24,108.32,214426131.6,Ethereum
2018-12-04,108.32,110.87,109.49,109.77,224414144.86,Ethereum
2018-12-05,109.77,104.13,101.74,101.85,253680250.52,Ethereum
2018-12-06,101.57,104.06,90.05,90.43,175524704.83,Ethereum
2018-12-07,90.43,97.75,82.08,93.61,235077885.79,Ethereum
2018-12-08,93.55,97.33,88.4,91.68,252498136.59,Ethereum
2018-12-09,91.68,96.97,93.92,94.49,237216006.74,Ethereum
2018-12-10,94.49,91.64,89.66,90.77,204658543.53,Ethereum
2018-12-11,90.77,90.2,87.58,88.32,241312257.83,Ethereum
2018-12-12,88.32,91.57,90.03,90.38,234871157.53,Ethereum
2018-12-13,90.38,87.72,85.47,86.4,223743147.88,Ethereum
2018-12-14,86.4,85.09,83.73,84.12,248636381.72,Ethereum
2018-12-15,84.12,84.53,83.69,84.3,175388688.31,Ethereum
2018-12-16,84.3,86.89,84.9,85.39,183329476.38,Ethereum
2018-12-17,85.39,96.16,92.89,95.06,280751231.88,Ethereum
2018-12-18,95.06,102.19,98.21,101.93,324514621.86,Ethereum
2018-12-19,102.44,109.23,99.85,100.63,172185010.13,Ethereum
2018-12-20,100.63,118.89,99.75,116.43,197572100.76,Ethereum
2018-12-21,116.31,112.21,107.53,109.4,328341422.07,Ethereum
2018-12-22,109.4,118.65,112.58,117.72,301382099.02,Ethereum
2018-12-23,117.72,132.29,116.58,131.45,490520819.94,Ethereum
2018-12-24,131.56,161.25,131.53,140.87,385949928.24,Ethereum
2018-12-25,140.87,141.84,124.03,130.99,225626016.68,Ethereum
2018-12-26,130.53,135.94,128.7,131.71,318122267.38,Ethereum
