date,open,high,low,close,volume,currency
2018-09-10,0.0193,0.02021,0.01886,0.01923,191047.01,TRON
2018-09-11,0.01923,0.01985,0.01787,0.0185,277615.26,TRON
2018-09-12,0.0185,0.01858,0.01716,0.01818,311300.01,TRON
2018-09-13,0.01818,0.02059,0.01818,0.01981,595135.26,TRON
2018-09-14,0.02012,0.02063,0.01892,0.0198,501126.21,TRON
2018-09-15,0.0198,0.02041,0.01962,0.01985,277507.48,TRON
2018-09-16,0.01985,0.02012,0.01921,0.01991,191509.82,TRON
2018-09-17,0.01991,0.02029,0.01807,0.01839,500929.31,TRON
2018-09-18,0.01839,0.01964,0.01817,0.0193,496848.14,TRON
2018-09-19,0.0193,0.02018,0.01862,0.01963,510904.2,TRON
2018-09-20,0.01963,0.02226,0.01963,0.02131,696013.89,TRON
2018-09-21,0.02131,0.02621,0.02123,0.02502,1538389.31,TRON
2018-09-22,0.02502,0.0255,0.02232,0.02317,545835.2,TRON
2018-09-23,0.02317,0.0248,0.02272,0.0238,864795.08,TRON
2018-09-24,0.0238,0.02423,0.02188,0.02213,445118.24,TRON
2018-09-25,0.02213,0.02213,0.02014,0.02125,536738.02,TRON
2018-09-26,0.02125,0.022,0.02008,0.02104,475595.69,TRON
2018-09-27,0.02104,0.023,0.02062,0.02251,545816.84,TRON
2018-09-28,0.02251,0.02309,0.0213,0.02198,424130.01,TRON
2018-09-29,0.02198,0.02229,0.0212,0.02208,642659.41,TRON
2018-09-30,0.02208,0.02272,0.0218,0.02216,304412.03,TRON
2018-10-01,0.02216,0.02258,0.02159,0.02208,245823.33,TRON
2018-10-02,0.02208,0.02252,0.02181,0.02239,151265.65,TRON
2018-10-03,0.02239,0.02239,0.02119,0.02167,357198.59,TRON
2018-10-04,0.02156,0.0237,0.02127,0.02275,911353.93,TRON
2018-10-05,0.02275,0.02355,0.02218,0.02335,570173.3,TRON
2018-10-06,0.02335,0.02446,0.02277,0.02383,442591.04,TRON
2018-10-07,0.02383,0.02763,0.02358,0.02693,1240045.99,TRON
2018-10-08,0.02693,0.02817,0.02608,0.02664,1431096.81,TRON
2018-10-09,0.02664,0.02701,0.02538,0.02614,677940.43,TRON
2018-10-10,0.02609,0.02614,0.0246,0.02552,490717.99,TRON
2018-10-11,0.02552,0.02552,0.02077,0.02099,1196305.9,TRON
2018-10-12,0.02099,0.02404,0.02072,0.02289,859234.6,TRON
2018-10-13,0.02295,0.02422,0.02288,0.0239,415786.06,TRON
2018-10-14,0.0239,0.02496,0.02365,0.02376,443740.3,TRON
2018-10-15,0.02376,0.02775,0.02289,0.02569,1293336.1,TRON
2018-10-16,0.02565,0.02567,0.02438,0.02486,473571.56,TRON
2018-10-17,0.02486,0.0261,0.02405,0.02495,566965.81,TRON
2018-10-18,0.02495,0.02573,0.02436,0.02475,369965.47,TRON
2018-10-19,0.02475,0.02498,0.02335,0.02442,259313.05,TRON
2018-10-20,0.02442,0.02476,0.02431,0.02467,141754.77,TRON
2018-10-21,0.02467,0.02505,0.02454,0.02456,238313.52,TRON
2018-10-22,0.02456,0.02462,0.02403,0.02425,141092.73,TRON
2018-10-23,0.02425,0.02433,0.02328,0.02376,243845.15,TRON
2018-10-24,0.02376,0.0242,0.02357,0.02379,130580.63,TRON
