date,open,high,low,close,volume,currency
2018-09-10,1.003,1.056,0.9713,1.002,297885.52,True USD
2018-09-11,1.002,1.049,0.9315,1.001,412158.62,True USD
2018-09-12,1.001,1.097,0.99,1.001,916417.9,True USD
2018-09-13,1.001,1.155,0.9856,1.004,641011.53,True USD
2018-09-14,1.001,1.032,0.9316,0.9976,560963.75,True USD
2018-09-15,1.001,1.065,0.9741,0.9973,315840.79,True USD
2018-09-16,0.9995,1.061,0.9901,1.003,274982.18,True USD
2018-09-17,1.003,1.024,0.8751,1.024,683546.3,True USD
2018-09-18,1.024,1.117,0.973,1.0,610449.69,True USD
2018-09-19,1.0,1.061,0.9811,1.005,589483.09,True USD
2018-09-20,1.005,1.091,0.9925,1.002,407932.23,True USD
2018-09-21,1.002,1.124,0.9838,1.0,979326.1,True USD
2018-09-22,1.0,1.034,0.6985,1.001,557168.06,True USD
2018-09-23,1.001,1.032,0.9821,1.002,266300.28,True USD
2018-09-24,1.002,1.012,0.9288,0.9997,550488.56,True USD
2018-09-25,0.9997,1.078,0.9614,1.001,687858.97,True USD
2018-09-26,1.001,1.035,0.9627,1.003,361774.82,True USD
2018-09-27,1.002,1.091,0.9826,1.003,1248818.52,True USD
2018-09-28,1.003,1.037,0.9498,1.001,411714.43,True USD
2018-09-29,1.001,1.083,0.9776,1.006,279558.19,True USD
2018-09-30,1.006,1.036,0.9769,1.005,1595518.54,True USD
2018-10-01,1.005,1.034,0.9838,1.005,1952789.64,True USD
2018-10-02,1.005,1.016,0.9742,1.01,301822.07,True USD
2018-10-03,1.01,1.029,0.98,1.017,223429.75,True USD
2018-10-04,1.017,1.026,0.9831,1.007,267448.18,True USD
2018-10-05,1.007,1.044,0.9914,1.005,316495.8,True USD
2018-10-06,1.005,1.012,0.9553,1.002,201967.52,True USD
2018-10-07,1.002,1.023,0.9965,1.006,243317.2,True USD
2018-10-08,1.006,1.031,0.9919,1.003,254010.1,True USD
2018-10-09,1.003,1.011,0.9925,1.002,167375.37,True USD
2018-10-10,1.002,1.027,0.9213,1.007,1282700.83,True USD
2018-10-11,1.007,1.03,0.8487,1.022,1612233.62,True USD
2018-10-12,1.022,1.058,0.9893,1.017,884457.04,True USD
2018-10-13,1.017,1.043,1.019,1.024,819027.18,True USD
2018-10-14,1.024,1.044,0.9855,1.032,1115384.09,True USD
2018-10-15,1.032,1.13,0.9931,1.04,4129974.37,True USD
2018-10-16,1.038,1.049,1.009,1.03,1037075.49,True USD
2018-10-17,1.03,1.032,1.005,1.023,670921.78,True USD
2018-10-18,1.023,1.125,0.9849,1.019,801186.98,True USD
2018-10-19,1.019,1.031,1.009,1.01,295388.89,True USD
2018-10-20,1.01,1.032,0.9864,1.014,329570.77,True USD
2018-10-21,1.014,1.022,0.9946,1.02,292160.51,True USD
2018-10-22,1.02,1.02,1.003,1.013,731667.11,True USD
2018-10-23,1.013,1.031,1.007,1.015,549399.93,True USD
2018-10-24,1.015,1.015,0.9131,1.009,537626.21,True USD
2018-10-25,1.009,1.017,1.0,1.009,586643.34,True USD
2018-10-26,1.009,1.026,0.9988,1.013,517973.98,True USD
2018-10-27,1.013,1.017,1.004,1.008,231331.0,True USD
2018-10-28,1.004,1.015,0.9999,1.007,186896.09,True USD
2018-10-29,1.007,1.02,0.9615,1.009,581649.49,True USD
2018-10-30,1.009,1.016,0.9959,1.004,523603.71,True USD
2018-10-31,1.004,1.033,0.9912,1.006,378885.22,True USD
2018-11-01,1.006,1.013,0.997,1.003,198274.17,True USD
2018-11-02,1.003,1.015,0.9959,1.001,314444.89,True USD
2018-11-03,1.001,1.007,0.9924,1.002,250204.64,True USD
2018-11-04,1.002,1.067,0.972,1.002,571337.71,True USD
2018-11-05,1.002,1.017,0.9873,0.9984,353877.39,True USD
2018-11-06,0.9984,1.058,0.997,0.999,487454.68,True USD
2018-11-07,0.999,1.012,0.9762,1.006,658512.73,True USD
2018-11-08,1.006,1.004,0.9588,1.002,446988.81,True USD
2018-11-09,1.007,1.018,1.002,1.006,37292.91,True USD
2018-11-10,1.006,1.02,0.9951,1.004,219301.88,True USD
2018-11-11,1.004,1.023,0.9996,1.005,281303.19,True USD
2018-11-12,1.006,1.016,1.003,1.006,28520.34,True USD
2018-11-13,1.009,1.019,0.9873,1.014,318205.51,True USD
2018-11-14,1.014,1.103,0.8955,1.024,2978269.65,True USD
2018-11-15,1.024,1.104,0.9981,1.017,1419950.28,True USD
2018-11-16,1.012,1.028,0.9942,1.012,71905.0,True USD
2018-11-17,1.021,1.024,1.002,1.017,418141.69,True USD
2018-11-18,1.017,1.038,0.9983,1.014,506155.3,True USD
2018-11-19,1.014,1.037,0.8444,1.012,2310142.09,True USD
2018-11-20,1.02,1.089,0.8541,1.022,4016521.1,True USD
2018-11-21,1.022,1.12,0.9907,1.014,1681252.06,True USD
2018-11-22,1.014,1.018,0.9178,1.01,886104.02,True USD
2018-11-23,1.017,1.059,0.9878,1.015,1542078.29,True USD
2018-11-24,1.011,1.166,0.984,1.014,124781.8,True USD
2018-11-25,1.014,1.055,0.8988,1.014,216871.75,True USD
2018-11-26,1.025,1.063,0.9323,1.021,1742315.12,True USD
2018-11-27,1.017,1.111,0.9923,1.019,1310755.9,True USD
2018-11-28,1.02,1.137,0.9817,1.016,2042633.02,True USD
2018-11-29,1.016,1.041,0.9505,1.01,913222.51,True USD
2018-11-30,1.01,1.033,0.9505,1.008,746881.92,True USD
2018-12-01,1.008,1.08,0.9967,1.018,960786.78,True USD
