date,open,high,low,close,volume,currency
2018-09-10,105.23,108.91,104.48,105.81,19544528.99,Monero
2018-09-11,105.81,107.91,102.18,105.2,16446453.71,Monero
2018-09-12,105.2,106.34,98.23,104.06,20963723.64,Monero
2018-09-13,104.12,115.88,106.01,112.05,17977799.41,Monero
2018-09-14,112.05,116.94,110.2,116.62,22690299.79,Monero
2018-09-15,116.61,122.22,116.81,119.29,17640485.43,Monero
2018-09-16,119.3,118.93,113.99,117.04,15267771.91,Monero
2018-09-17,117.04,115.71,106.07,106.19,21454353.99,Monero
2018-09-18,106.19,112.97,105.41,112.01,18082790.77,Monero
2018-09-19,112.01,113.71,108.84,109.68,19723138.03,Monero
2018-09-20,109.61,116.2,111.32,116.07,18130775.32,Monero
2018-09-21,116.07,124.56,118.81,124.15,21764410.9,Monero
2018-09-22,124.15,124.12,119.82,122.31,10249998.84,Monero
2018-09-23,122.31,126.95,120.85,122.26,31827702.51,Monero
2018-09-24,122.26,120.94,114.55,114.88,13044654.83,Monero
2018-09-25,114.88,116.39,111.76,116.39,11521554.39,Monero
2018-09-26,116.39,117.43,113.16,115.03,12488223.82,Monero
2018-09-27,115.03,121.09,116.94,119.15,18002535.36,Monero
2018-09-28,119.08,119.7,115.85,116.98,12899400.86,Monero
2018-09-29,116.85,117.68,113.52,114.51,13608585.75,Monero
2018-09-30,114.51,116.64,114.72,115.78,9563548.23,Monero
2018-10-01,115.72,116.4,113.7,114.49,8380013.87,Monero
2018-10-02,114.49,119.29,112.04,116.48,13179983.37,Monero
2018-10-03,116.48,116.86,112.25,114.39,9084620.9,Monero
2018-10-04,114.4,116.26,113.44,114.69,8128128.16,Monero
2018-10-05,114.69,116.01,114.35,115.35,4852851.62,Monero
2018-10-06,115.35,115.32,113.35,114.86,7462060.37,Monero
2018-10-07,114.86,115.26,113.01,113.54,6106244.3,Monero
2018-10-08,113.61,115.51,113.38,114.18,7620368.04,Monero
2018-10-09,114.18,114.2,112.87,113.34,6902884.78,Monero
2018-10-10,113.34,114.31,112.01,114.12,7196489.77,Monero
2018-10-11,114.18,107.86,100.16,100.16,12714329.15,Monero
2018-10-12,100.16,103.76,100.2,100.89,7807411.74,Monero
2018-10-13,100.91,103.16,100.97,102.91,5781811.17,Monero
2018-10-14,102.91,103.39,100.51,100.63,6563700.84,Monero
2018-10-15,100.57,110.36,103.55,107.52,16282561.86,Monero
2018-10-16,107.52,108.36,105.99,108.29,8298846.36,Monero
2018-10-17,108.29,108.41,106.18,106.9,8903632.67,Monero
2018-10-18,106.93,106.61,102.59,103.69,8317873.19,Monero
2018-10-19,103.7,105.71,103.25,104.54,6482529.0,Monero
2018-10-20,104.48,105.86,104.04,104.43,5927938.73,Monero
2018-10-21,104.43,106.57,104.55,105.72,7553503.19,Monero
2018-10-22,105.72,106.45,104.83,106.39,8214004.64,Monero
2018-10-23,106.41,110.45,106.18,108.96,12920097.93,Monero
2018-10-24,108.97,109.51,106.66,106.79,7690969.63,Monero
2018-10-25,106.8,106.7,105.08,106.51,7821672.83,Monero
2018-10-26,106.51,106.54,104.54,104.8,7787354.47,Monero
2018-10-27,104.8,105.14,103.85,104.04,7441284.06,Monero
2018-10-28,104.04,105.15,102.24,104.83,8024803.61,Monero
2018-10-29,104.83,102.54,100.71,101.28,8764319.2,Monero
2018-10-30,101.28,103.15,101.07,103.03,8906247.62,Monero
2018-10-31,103.03,105.86,103.38,104.65,9028486.9,Monero
2018-11-01,104.66,105.42,103.19,104.33,6828816.8,Monero
2018-11-02,104.33,106.54,104.04,106.15,8337220.91,Monero
2018-11-03,106.15,107.95,104.76,107.06,7188186.61,Monero
2018-11-04,107.06,113.69,107.48,112.72,11412219.41,Monero
2018-11-05,112.79,112.72,109.89,112.01,10237046.78,Monero
