"Date","Price","Open","High","Low","Vol.","Change %"
"09/08/2023","10,948.59","10,977.94","10,998.54","10,911.43","19.71M","-0.41%"
"09/07/2023","10,993.43","10,890.87","10,993.43","10,890.87","22.24M","0.63%"
"09/06/2023","10,924.42","10,906.71","10,948.62","10,859.02","22.22M","-0.31%"
"09/05/2023","10,958.90","11,005.48","11,024.57","10,953.57","18.98M","-0.86%"
"09/04/2023","11,053.59","11,094.94","11,141.31","11,045.33","15.68M","-0.19%"
"09/01/2023","11,075.15","11,100.55","11,133.63","11,069.45","22.82M","-0.46%"
"08/31/2023","11,125.95","11,123.93","11,172.69","11,106.24","61.19M","0.32%"
"08/30/2023","11,090.22","11,112.00","11,130.25","11,068.00","21.24M","-0.14%"
"08/29/2023","11,106.24","11,064.47","11,107.44","11,033.38","20.43M","0.67%"
"08/28/2023","11,032.76","11,029.17","11,060.38","11,022.98","16.44M","0.69%"
"08/25/2023","10,956.90","10,960.05","11,008.85","10,928.00","18.23M","-0.18%"
"08/24/2023","10,976.83","11,025.44","11,054.89","10,966.71","24.41M","0.03%"
"08/23/2023","10,973.64","10,929.41","11,021.56","10,925.13","19.66M","0.90%"
"08/22/2023","10,875.68","10,883.55","10,942.69","10,872.98","20.19M","0.25%"
"08/21/2023","10,848.34","10,842.63","10,926.01","10,842.63","17.81M","0.09%"
"08/18/2023","10,839.06","10,863.53","10,870.27","10,749.38","23.61M","-0.42%"
"08/17/2023","10,884.89","10,943.37","10,951.87","10,876.46","22.96M","-0.98%"
"08/16/2023","10,992.31","10,971.14","11,028.54","10,971.14","20.67M","0.06%"
"08/15/2023","10,985.22","11,086.88","11,097.54","10,956.38","20.33M","-1.12%"
"08/14/2023","11,110.11","11,084.22","11,125.75","11,064.87","17.57M","0.26%"
"08/11/2023","11,081.63","11,133.03","11,162.45","11,050.62","28.79M","-0.61%"
"08/10/2023","11,149.79","11,122.63","11,189.10","11,106.90","19.52M","0.62%"
"08/09/2023","11,081.54","11,115.06","11,146.22","11,081.54","17.39M","0.22%"
"08/08/2023","11,057.32","11,074.81","11,130.87","11,044.72","18.62M","-0.45%"
"08/07/2023","11,107.47","11,084.53","11,118.90","11,058.52","15.50M","0.08%"
"08/04/2023","11,098.48","11,077.87","11,101.41","11,009.02","17.58M","0.10%"
"08/03/2023","11,087.18","11,158.24","11,158.53","11,060.74","20.58M","-1.12%"
"08/02/2023","11,212.70","11,154.53","11,244.64","11,130.71","25.31M","-0.85%"
"07/31/2023","11,309.25","11,314.29","11,349.37","11,308.02","19.54M","-0.08%"
"07/28/2023","11,317.74","11,326.25","11,364.99","11,301.12","17.92M","-0.49%"
"07/27/2023","11,373.21","11,222.60","11,399.49","11,220.80","25.75M","1.70%"
"07/26/2023","11,183.55","11,223.96","11,242.69","11,116.54","19.73M","-0.43%"
"07/25/2023","11,231.41","11,194.80","11,245.86","11,159.15","18.50M","0.48%"
"07/24/2023","11,177.68","11,203.23","11,238.62","11,164.30","17.21M","-0.27%"
"07/21/2023","11,207.38","11,232.09","11,246.30","11,167.33","19.20M","0.05%"
"07/20/2023","11,201.55","11,096.59","11,216.81","11,087.67","21.37M","0.73%"
"07/19/2023","11,120.15","11,123.59","11,161.84","11,119.02","18.95M","0.15%"
"07/18/2023","11,103.55","10,998.09","11,120.88","10,993.01","18.59M","1.16%"
"07/17/2023","10,976.20","11,119.42","11,122.42","10,975.51","18.46M","-1.21%"
"07/14/2023","11,110.19","11,030.43","11,114.37","11,030.43","18.58M","0.80%"
"07/13/2023","11,021.66","11,016.44","11,076.17","11,013.04","14.36M","0.02%"
"07/12/2023","11,019.03","10,972.12","11,039.92","10,953.00","19.09M","0.51%"
"07/11/2023","10,962.59","10,928.41","10,975.59","10,904.11","18.53M","0.37%"
"07/10/2023","10,922.01","10,865.25","10,952.15","10,859.43","19.55M","0.43%"
"07/07/2023","10,874.90","10,959.89","10,996.26","10,851.84","20.55M","-1.02%"
"07/06/2023","10,986.78","11,112.21","11,121.92","10,967.57","22.74M","-1.85%"
"07/05/2023","11,193.92","11,189.10","11,214.91","11,159.50","21.35M","-0.21%"
"07/04/2023","11,217.34","11,236.06","11,261.31","11,208.28","13.47M","-0.02%"
"07/03/2023","11,219.15","11,288.15","11,332.26","11,217.03","18.72M","-0.54%"
"06/30/2023","11,280.29","11,204.93","11,309.04","11,203.26","27.78M","0.98%"
"06/29/2023","11,170.51","11,194.48","11,203.42","11,156.85","16.67M","-0.12%"
"06/28/2023","11,183.55","11,233.66","11,242.53","11,167.64","20.77M","0.37%"
"06/27/2023","11,142.65","11,167.88","11,184.96","11,113.00","17.88M","0.01%"
"06/26/2023","11,141.90","11,205.20","11,205.20","11,136.39","19.54M","-0.71%"
"06/23/2023","11,221.22","11,177.09","11,263.74","11,175.05","17.11M","0.34%"
"06/22/2023","11,183.42","11,102.11","11,183.42","11,070.61","19.07M","0.09%"
"06/21/2023","11,173.65","11,196.62","11,243.96","11,164.28","20.00M","-0.38%"
"06/20/2023","11,215.91","11,271.57","11,315.73","11,215.91","25.09M","-0.80%"
"06/19/2023","11,306.64","11,360.21","11,361.67","11,291.13","16.16M","-0.70%"
"06/16/2023","11,386.26","11,317.44","11,448.69","11,309.36","59.91M","0.74%"
"06/15/2023","11,302.83","11,273.08","11,305.93","11,249.85","22.63M","0.22%"
"06/14/2023","11,278.30","11,317.93","11,356.35","11,259.23","28.80M","-0.43%"
"06/13/2023","11,327.27","11,340.02","11,348.15","11,275.51","23.06M","0.23%"
"06/12/2023","11,301.25","11,343.15","11,343.18","11,296.43","67.61M","0.42%"
"06/09/2023","11,254.42","11,317.79","11,321.23","11,238.63","42.15M","-0.48%"
"06/08/2023","11,308.90","11,348.45","11,368.52","11,294.85","42.95M","-0.35%"
"06/07/2023","11,348.11","11,424.33","11,440.84","11,343.31","40.74M","-1.05%"
"06/06/2023","11,468.27","11,425.97","11,490.78","11,397.21","42.10M","0.47%"
"06/05/2023","11,415.00","11,467.77","11,487.82","11,412.61","36.81M","-0.25%"
"06/02/2023","11,443.35","11,325.81","11,446.46","11,321.05","37.05M","1.30%"
"06/01/2023","11,296.28","11,266.31","11,324.54","11,246.19","41.42M","0.70%"
"05/31/2023","11,217.89","11,241.80","11,348.23","11,194.94","298.29M","-0.57%"
"05/30/2023","11,282.45","11,404.41","11,428.02","11,282.45","50.20M","-1.33%"
"05/26/2023","11,434.24","11,353.34","11,464.34","11,313.88","38.91M","0.96%"
"05/25/2023","11,325.26","11,365.62","11,374.02","11,307.58","30.22M","-0.51%"
"05/24/2023","11,383.14","11,432.86","11,447.78","11,349.13","32.55M","-0.89%"
