,Magnitude,Location,Latitude,Longitude,Depth
0,6.0,"Izu Islands, Japan region",29.9189,140.0172,10.0
1,5.8,"Izu Islands, Japan region",29.9105,140.0535,10.0
2,5.7,"40 km NE of Dipayal, Nepal",29.4987,81.253,20.134
3,5.7,"158 km E of Kokopo, Papua New Guinea",-4.5206,153.6892,86.0
4,5.4,"24 km S of Goālpāra, India",25.9591,90.6152,10.0
5,5.3,"Bonin Islands, Japan region",28.3729,138.7811,517.01
6,5.3,"48 km SSE of Karakenja, Tajikistan",38.8167,71.6851,13.617
7,5.3,"12 km S of Cicurug, Indonesia",-6.8967,106.7908,109.859
8,5.2,"Izu Islands, Japan region",29.8376,140.1214,10.0
9,5.2,,-57.0756,-30.1204,10.0
