Price,Rooms & Living Space Details,Address
CHF 4’060.– / Monat,3.5 Zimmer 83m² Wohnfläche,"Zollikerstrasse 6, 8008 Zürich"
CHF 2’080.– / Monat,6.5 Zimmer 129m² Wohnfläche,"Saumackerstrasse 104, 8048 Zürich"
CHF 11’750.– / Monat,11 Zimmer 320m² Wohnfläche,"Drusbergstrasse 91, 8053 Zürich"
CHF 810.– / Monat,6.5 Zimmer 98m² Wohnfläche,"Kirchgasse 33, 8001 Zürich"
CHF 960.– / Monat,8 Zimmer 145m² Wohnfläche,"Bühlstrasse 43, 8055 Zürich"
CHF 990.– / Monat,6.5 Zimmer 168m² Wohnfläche,"Höschgasse 68, 8008 Zürich"
CHF 8’700.– / Monat,6.5 Zimmer 140m² Wohnfläche,"Zollikerstrasse 6, 8008 Zürich"
CHF 5’130.– / Monat,4.5 Zimmer 114m² Wohnfläche,"Zollikerstrasse 6, 8008 Zürich"
CHF 6’910.– / Monat,6.5 Zimmer 150m² Wohnfläche,"Scheideggstrasse 65, 8002 Zürich"
CHF 6’690.– / Monat,6.5 Zimmer 160m² Wohnfläche,"Letzigraben 114/116, 8047 Zürich"
CHF 5’170.– / Monat,4.5 Zimmer 135m² Wohnfläche,"Letzigraben 114/116, 8047 Zürich"
CHF 6’440.– / Monat,7.5 Zimmer 140m² Wohnfläche,"Letzigraben 114/116, 8047 Zürich"
CHF 5’870.– / Monat,6.5 Zimmer 160m² Wohnfläche,"Käferholzstrasse 32, 8057 Zürich"
CHF 6’320.– / Monat,5 Zimmer 190m² Wohnfläche,"Militärstrasse 118, 8004 Zürich"
CHF 74’400.– / Monat,6.5 Zimmer 150m² Wohnfläche,8008 Zürich
CHF 720.– / Woche,3.5 Zimmer 47m² Wohnfläche,"Hagenholzstrasse 59, 8050 Zürich"
CHF 16’290.– / Monat,10.5 Zimmer 320m² Wohnfläche,"Höschgasse 29, 8008 Zürich"
CHF 4’890.– / Monat,5 Zimmer,"Spiegelhofstrasse, 8032 Zürich"
CHF 5’450.– / Monat,6.5 Zimmer 158m² Wohnfläche,"Kleinertstrasse 2, 8037 Zürich"
CHF 5’500.– / Monat,6.5 Zimmer 185m² Wohnfläche,"Badenerstrasse 855, 8048 Zürich"
CHF 2’790.– / Monat,3 Zimmer 98m² Wohnfläche,"Riedenhaldenstrasse 80, 8046 Zürich"
CHF 3’720.– / Monat,4.5 Zimmer 127m² Wohnfläche,"Regensbergstrasse 85, 8050 Zürich"
CHF 4’530.– / Monat,5 Zimmer 140m² Wohnfläche,"Wieslergasse, 8049 Zürich"
CHF 4’610.– / Monat,5 Zimmer 145m² Wohnfläche,"Hirslanderstrasse 33, 8032 Zürich"
CHF 3’840.– / Monat,3 Zimmer 104m² Wohnfläche,"Schulhausstrasse 47, 8002 Zürich"
CHF 4’140.– / Monat,4.5 Zimmer 104m² Wohnfläche,"Schöneggstrasse 15, 8004 Zürich"
CHF 4’290.– / Monat,6.5 Zimmer 152m² Wohnfläche,"Schöneggstrasse 15, 8004 Zürich"
CHF 7’620.– / Monat,6.5 Zimmer 160m² Wohnfläche,"Zürichbergstrasse 129, 8044 Zürich"
CHF 2’450.– / Monat,3.5 Zimmer,"Am Wasser 87, 8049 Zürich"
CHF 3’490.– / Monat,3.5 Zimmer 87m² Wohnfläche,8057 Zürich
CHF 4’110.– / Monat,4.5 Zimmer 97m² Wohnfläche,"Haldenstrasse, 8045 Zürich"
CHF 3’720.– / Monat,3.5 Zimmer 127m² Wohnfläche,"Spinnereiplatz 1, 8041 Zürich"
CHF 5’290.– / Monat,6.5 Zimmer,"Wildbachstrasse 69, 8008 Zürich"
CHF 4’460.– / Monat,6.5 Zimmer 170m² Wohnfläche,"Friedhofstrasse 41, 8048 Zürich"
CHF 11’160.– / Monat,7.5 Zimmer 220m² Wohnfläche,"Brandschenkestrasse, 8002 Zürich"
CHF 7’730.– / Monat,7.5 Zimmer 190m² Wohnfläche,"Drusbergstrasse, 8053 Zürich"
CHF 2’600.– / Monat,3 Zimmer 97m² Wohnfläche,"Ackersteinstrasse 87, 8049 Zürich"
CHF 12’250.– / Monat,7.5 Zimmer 230m² Wohnfläche,"In der Sommerau 9, 8053 Zürich"
CHF 3’490.– / Monat,6.5 Zimmer 131m² Wohnfläche,"Regensbergstrasse 177, 8050 Zürich"
CHF 4’340.– / Monat,6.5 Zimmer 137m² Wohnfläche,"Saumackerstrasse 68, 8048 Zürich"
CHF 4’700.– / Monat,6.5 Zimmer 156m² Wohnfläche,"Saumackerstrasse 68, 8048 Zürich"
